Release_No	PGS_integ
ABBM069929	0.5669397885026817
ABBM075572	0.994892205490404
ABBM082560	0.3938835279966993
ABBM012926	0.8372842531025182
ABBM083254	0.4555693438802528
ABBM070955	0.4251885838803879
ABBM069690	0.3922669217706865
ABBM012242	0.3309382283029544
ABBM099949	0.2699900939525612
ABBM066570	0.645756572748063
ABBM016479	0.4419203487542921
ABBM078820	0.2491211723229105
ABBM087150	0.3562521128003957
ABBM014767	0.3291642500066933
ABBM080286	0.2502675536886836
ABBM070985	0.4084881707513856
ABBM000714	0.465775455049836
ABBM013352	0.2384888187691817
ABBM070993	0.577909665016601
ABBM014286	0.8598408323948545
ABBM023230	0.4503714732147109
ABBM058730	0.3960184873983242
ABBM023448	-0.087727834107798
ABBM013442	0.7953320541260167
ABBM069438	0.8871919681811709
ABBM075517	0.540228225880377
ABBM072970	0.9678202569619272
ABBM083195	0.4381560949584534
ABBM015200	0.6387310732995143
ABBM001557	0.3576699641048085
ABBM049597	0.07545554919049
ABBM078348	0.6397448275857509
ABBM012396	0.8032099748393977
ABBM012275	0.6163427870741471
ABBM000229	0.4058040028931006
ABBM015888	0.5747943219482005
ABBM055965	0.6532039223791485
ABBM000341	0.3896813612373947
ABBM090216	0.5157360994173126
ABBM018639	0.6172238452597963
ABBM070077	0.4782918359721504
ABBM070900	0.4167317656839718
ABBM071173	0.3054097839471308
ABBM071729	0.4429248591785162
ABBM064702	0.2129500152953711
ABBM072051	0.5784691798437478
ABBM071084	0.3962498353494466
ABBM070961	0.6216770822560053
ABBM010770	0.7294006546243063
ABBM054441	0.4016300886509956
ABBM068442	0.4070159371912842
ABBM074730	0.5967862288509512
ABBM024529	0.3129580454426323
ABBM075724	0.3913553012420859
ABBM069807	0.4348003806427238
ABBM074701	0.1880859505328787
ABBM071668	0.3641852164670446
ABBM075946	0.2468927713557795
ABBM074724	0.2511396500052884
ABBM071580	0.5695413233724143
ABBM069732	0.6079524928846634
ABBM071071	0.7298986392244328
ABBM071032	0.6627118566303467
ABBM074890	0.7540180593923278
ABBM071075	0.5718311017060329
ABBM001180	0.4439158841923563
ABBM071535	0.95936280784272
ABBM013419	0.76782760432147
ABBM054692	0.7831031816521457
ABBM079036	0.8588818230388968
ABBM071177	0.6081456349185587
ABBM012474	0.2356308081734332
ABBM088187	0.3314806958056059
ABBM074944	0.5491615446104783
ABBM012666	0.6121200717831129
